Field ,Type 
ts,time,Timestamp of the DNS request
uid,string,Unique id of the connection 
id.orig_h,addr,The source IP address of the host that initiated the DNS query. 
id.orig_p,port,The source port of the host that initiated the DNS query.
id.resp_h,addr,The destination IP address, typically the DNS server, that received the DNS query.
id_resp_p,port,The destination port number, usually port 53 for DNS, on the server that received the DNS query.
proto,enum,Protocol of DNS transaction â€“ TCP or UDP 
trans_id,count,16 bit identifier assigned by DNS client; responses match 
query,string,Domain name subject of the query 
qclass,count,Value specifying the query class 
qclass_name,string,Descriptive name of the query class (e.g. C_INTERNET) 
qtype,count,Value specifying the query type 
qtype_name,string,"Name of the query type (e.g. A, AAAA, PTR) "
rcode,count,Response code value in the DNS response 
rcode_name,string,"Descriptive name of the response code (e.g. NOERROR, NXDOMAIN) "
AA,bool,Authoritative Answer. T = server is authoritative for query 
TC,bool,Truncation. T = message was truncated Recursion Desired. 
RD,bool,T = request recursive lookup of query
RA,bool,Recursion Available. T = server supports recursive queries 
Z,count,"Reserved field, should be zero in all queries & responses "
answers,vector,List of resource descriptions in answer to the query 
TTLs,vector,Caching intervals of the answers 
rejected,bool,Whether the DNS query was rejected by the server 